Date,Open,High,Low,Close,Volume,Company,company
2024-10-24,-1.0710943624021985,-1.0731297205913215,-1.067772888797646,-1.0703482362743089,0.2343589125858831,price_nio,nio
2024-10-23,-1.0707058470708346,-1.0724171373035458,-1.0667087174727226,-1.0691862135200552,0.0497923877362126,price_nio,nio
2024-10-22,-1.0710388602120036,-1.0720882527091875,-1.0667087174727226,-1.0689648758525785,0.0794594054871973,price_nio,nio
2024-10-21,-1.0714273755433674,-1.072526765501665,-1.0672587260206567,-1.0694628856044013,0.0369495789568802,price_nio,nio
2024-10-18,-1.0693737945061588,-1.071320855322352,-1.0665406904214187,-1.0690202102694475,0.4818515632105672,price_nio,nio
2024-10-17,-1.0699288164081069,-1.072033438610128,-1.0672688076437349,-1.069407551187532,0.5895678134335759,price_nio,nio
2024-10-16,-1.068263750702262,-1.0702245733411586,-1.0648884244169323,-1.0674155121802402,0.2007492797519968,price_nio,nio
2024-10-15,-1.0685412616532362,-1.0695668041524424,-1.064468356788673,-1.0668068335946788,0.4904539461807551,price_nio,nio
2024-10-14,-1.066043663094469,-1.067539230628225,-1.0632921674295472,-1.065866148507902,0.6776370281318205,price_nio,nio
2024-10-11,-1.066043663094469,-1.0668809132985182,-1.0617799239678138,-1.063376099748787,0.1441537254639229,price_nio,nio
2024-10-10,-1.065100125861157,-1.0666068428032198,-1.0612192737066304,-1.0634867685825256,0.2143506916063582,price_nio,nio
2024-10-09,-1.0659326587140794,-1.066058701812623,-1.0620739713075953,-1.063099427664441,0.5253159382746712,price_nio,nio
2024-10-08,-1.0649336192905725,-1.0663327723079217,-1.061331851831004,-1.063376099748787,0.6976838238132986,price_nio,nio
2024-10-07,-1.061880998829857,-1.0634276250577586,-1.0588114460614484,-1.06033270682098,0.6422178910972215,price_nio,nio
2024-10-04,-1.0623805185416104,-1.0641402083455342,-1.059707590335068,-1.0604433756547185,0.8356519403775595,price_nio,nio
2024-10-03,-1.0616034878788827,-1.0630987404634005,-1.058195346873335,-1.060830716572803,0.933014922949472,price_nio,nio
